gene_id,gene_name,gene_length,twoD_1,twoD_2,twoD_3,twoD_4,dynamic_2,dynamic_3,dynamic_4,dynamic_5,static_1,static_2,static_4,static_5
ENSBTAG00000049468,NA,273,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052340,NA,270,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000044154,NA,294,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000045424,RF00026,97,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052530,NA,228,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000051544,NA,255,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052321,NA,216,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000053953,NA,222,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000054015,NA,243,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052457,KRTAP15-1,411,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000039602,KRTAP13-1,845,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000050522,NA,399,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000037933,NA,378,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000055221,NA,192,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052202,KRTAP27-1,606,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000046384,KRTAP24-1,807,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000039820,CLDN8,1994,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000039255,CLDN17,678,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000034854,GRIK1,3563,0,0,0,0,0,28,0,0,0,0,0,6
ENSBTAG00000042595,RF00026,123,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000004139,BACH1,3360,47,134,71,22,55,148,78,115,51,53,70,114
ENSBTAG00000007444,MAP3K7CL,2055,763,191,282,532,269,186,165,143,410,144,280,190
ENSBTAG00000014233,CCT8,1975,43966,17968,12400,16602,7514,13270,11287,18793,22167,9364,29443,11959
ENSBTAG00000020122,USP16,3117,1642,1187,653,961,691,1321,952,1042,1066,1876,1698,1496
ENSBTAG00000020121,RWDD2B,873,58,45,49,252,44,109,40,59,30,109,70,59
ENSBTAG00000000201,LTN1,5750,38,123,49,84,67,239,171,128,240,190,132,100
ENSBTAG00000038433,NA,369,6965,11322,7523,5343,2563,1716,683,563,6435,1271,6345,3926
ENSBTAG00000001412,N6AMT1,1935,0,11,61,185,4,80,6,26,40,14,29,29
ENSBTAG00000045479,RF00026,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052349,H4,312,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052332,H4,312,0,0,0,0,0,0,0,0,0,0,0,3
ENSBTAG00000000648,ADAMTS5,3540,0,0,0,0,2,0,1,0,0,0,0,0
ENSBTAG00000000706,ADAMTS1,4488,131,110,8,201,232,1070,49,321,46,33,57,59
ENSBTAG00000045024,RF00026,62,0,1,0,0,1,2,3,1,0,0,0,0
ENSBTAG00000050914,CYYR1,6730,4,6,0,0,5,426,0,3,52,0,0,21
ENSBTAG00000050144,RF00026,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000017753,APP,3870,19,32,36,108,38,147,30,81,25,42,111,41
ENSBTAG00000042557,RF00026,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000019043,GABPA,1956,193,137,113,250,129,133,63,92,248,64,223,213
ENSBTAG00000000605,ATP5PF,1029,56338,40135,32733,49683,37784,28114,16316,20182,37622,18828,56307,50259
ENSBTAG00000000603,JAM2,4930,148,25,26,196,211,904,17,257,58,23,67,60
ENSBTAG00000019542,MRPL39,2065,15995,4592,8225,13596,6794,4015,4546,5038,11442,1775,15614,6773
ENSBTAG00000036404,bta-mir-155,65,55,48,66,118,32,241,6,311,189,0,49,132
ENSBTAG00000042261,RF00026,104,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000043064,RF00026,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000038900,NA,421,3,3,12,2,3,4,0,1,1,1,2,0
ENSBTAG00000045128,RF00100,335,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000003301,NCAM2,3143,19,24,8,61,33,3,63,45,54,46,48,11
ENSBTAG00000036841,RF00001,120,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000053315,NA,159,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000047337,RF00026,106,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000044598,RF00001,85,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000043929,RF00001,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000000597,TMPRSS15,3863,0,7,2,20,14,34,0,53,20,0,17,11
ENSBTAG00000000588,CHODL,2598,0,3,0,18,12,32,0,0,0,15,0,0
ENSBTAG00000001395,C1H21orf91,1159,923,447,526,500,318,621,305,594,563,541,1071,609
ENSBTAG00000055283,RF00026,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000018704,BTG3,1869,168,98,47,295,186,1614,8,292,167,62,90,177
ENSBTAG00000004869,CXADR,3549,177,186,89,33,114,379,74,146,270,135,249,163
ENSBTAG00000043726,RF00100,287,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000029827,bta-mir-125b-2,85,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000029912,MIRLET7C,108,0,0,0,0,0,0,0,0,0,4,0,0
ENSBTAG00000029768,bta-mir-99a,90,0,0,0,0,0,0,0,1,0,0,0,0
ENSBTAG00000054337,NA,1245,28,2,7,9,3,1,11,21,18,8,13,2
ENSBTAG00000053883,NA,2352,132,24,29,71,26,11,11,22,62,30,56,29
ENSBTAG00000044220,RF00026,106,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000019314,USP25,3590,4978,857,1211,2233,1412,1564,1464,2192,3510,2679,1986,730
ENSBTAG00000052575,NA,2114,0,2,2,0,5,34,0,16,0,0,2,1
ENSBTAG00000047293,NRIP1,3471,5,6,6,14,19,13,15,24,0,11,7,7
ENSBTAG00000054742,NA,1695,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000002623,SAMSN1,1832,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000012908,HSPA13,2131,91,45,52,131,49,387,31,115,145,37,134,120
ENSBTAG00000054574,NA,4124,0,0,0,0,6,0,7,3,26,11,0,0
ENSBTAG00000034347,RBM11,2265,2,1,0,19,10,48,3,23,2,7,13,3
ENSBTAG00000038512,LIPI,1224,0,0,0,1,0,5,3,8,0,1,9,3
ENSBTAG00000048954,NA,354,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000038422,NA,453,111,1071,616,137,790,717,385,402,132,652,545,1517
ENSBTAG00000048578,NA,521,637,363,472,1046,444,288,147,277,592,233,701,419
ENSBTAG00000050084,RF00001,119,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000046755,NA,801,119,68,40,14,35,28,76,52,68,87,102,60
ENSBTAG00000010462,ROBO2,4274,226,130,83,107,79,80,109,148,134,190,153,106
ENSBTAG00000028813,RF00001,119,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000043751,RF00004,145,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000009851,ROBO1,6204,1825,620,661,1172,711,606,725,596,1494,1495,722,395
ENSBTAG00000051036,NA,315,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000008359,NA,363,0,0,0,0,0,0,0,0,0,0,0,4
ENSBTAG00000036262,GBE1,2962,862,208,134,773,194,535,227,403,522,436,457,184
ENSBTAG00000045043,RF00015,91,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000043669,RF00026,103,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000054327,NA,2076,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000045974,NA,564,6,13,23,6,2,0,15,6,4,25,15,6
ENSBTAG00000009219,CADM2,2042,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000053095,bta-mir-2285cm,61,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000026156,VGLL3,2626,0,0,1,0,14,4,0,0,0,0,0,3
ENSBTAG00000007939,CHMP2B,2430,2721,631,769,1867,682,2206,985,1332,2117,1616,1007,715
ENSBTAG00000009128,POU1F1,3274,7,14,20,1,1,0,19,9,40,28,4,11
ENSBTAG00000039151,HTR1F,1193,32,12,15,0,10,0,10,20,80,29,29,24
ENSBTAG00000046393,RF00015,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000046959,CGGBP1,2529,8029,6872,1493,1613,4078,4404,2725,2969,4651,4838,5167,5508
ENSBTAG00000023675,ZNF654,4034,134,150,60,42,75,87,32,35,70,31,141,125
ENSBTAG00000007970,C1H3orf38,1515,3347,2412,3668,2859,1440,2163,1521,1693,2617,2241,2970,2832
ENSBTAG00000050305,RF00001,26,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000045590,CSNKA2IP,2178,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000006811,EPHA3,3032,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000023652,PROS1,2415,232,159,85,660,364,4564,47,782,541,12,221,360
ENSBTAG00000005155,ARL13B,1579,8077,5668,2777,1792,3801,4752,3968,3722,5189,5093,5265,5855
ENSBTAG00000005162,STX19,1039,0,0,4,0,0,0,0,0,0,7,0,0
ENSBTAG00000015728,NSUN3,2519,318,108,159,176,73,280,179,194,205,264,164,81
ENSBTAG00000045781,RF00017,299,0,1,15,0,2,14,0,0,0,0,0,2
ENSBTAG00000034182,NA,1356,47,6,11,11,17,24,7,16,22,8,5,8
ENSBTAG00000050258,NA,1434,3,0,4,4,0,20,9,6,2,3,2,4
ENSBTAG00000044111,EPHA6,2841,159,138,245,240,91,102,151,126,122,156,101,124
ENSBTAG00000042804,RF00026,106,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000048531,RF00026,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000010091,ARL6,3650,2648,1088,2045,2730,715,1168,1742,2006,2422,1904,2279,1323
ENSBTAG00000047147,CRYBG3,9394,162,244,98,120,74,304,138,130,151,59,237,198
ENSBTAG00000015546,RIOX2,2112,990,950,803,944,460,727,560,598,640,356,964,770
ENSBTAG00000001416,GABRR3,1407,0,0,0,0,7,0,0,0,0,0,0,0
ENSBTAG00000048630,NA,1023,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052028,NA,885,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000054232,NA,372,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000050430,NA,930,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052415,NA,927,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000054488,NA,939,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000022908,NA,978,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000051584,NA,993,1,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000051784,NA,972,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000051905,NA,930,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000033437,NA,945,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000051566,NA,912,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000050543,OR5K4,921,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000052122,NA,927,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000044603,RF00026,103,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000049354,NA,930,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000053167,NA,927,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000027782,NA,969,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000020996,CLDND1,2232,1193,988,923,1033,591,4311,592,931,1279,805,1608,1108
ENSBTAG00000020997,GPR15,1077,0,0,2,1,0,0,0,0,0,0,0,0
ENSBTAG00000028582,RF00003,163,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000004124,CPOX,2109,516,215,298,222,198,404,317,275,384,157,347,209
ENSBTAG00000044934,RF00263,137,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000023666,NA,597,8287,9870,23865,23900,6347,7168,8432,5742,14814,14792,8640,8545
ENSBTAG00000004471,ST3GAL6,5559,1833,403,613,1393,577,1055,728,1029,1387,1258,633,404
ENSBTAG00000014889,DCBLD2,3941,247,111,78,35,46,212,52,60,54,75,138,99
ENSBTAG00000013662,COL8A1,5107,0,0,5,0,0,68,0,3,0,0,0,0
ENSBTAG00000013663,CMSS1,1219,13,17,9,105,39,35,3,50,40,35,7,18
ENSBTAG00000013664,FILIP1L,4101,12,27,11,64,44,130,23,26,34,18,31,85
ENSBTAG00000013667,TMEM30C,3931,0,0,0,0,0,0,1,0,0,0,0,0
ENSBTAG00000015010,TBC1D23,3310,799,345,254,349,192,465,189,246,663,400,583,365
ENSBTAG00000004833,NIT2,1264,84,29,62,2,40,368,50,25,29,95,4,83
ENSBTAG00000014302,TOMM70,2173,722,863,1339,2494,505,1646,873,815,949,1115,688,789
ENSBTAG00000034442,LNP1,2304,374,263,137,207,146,335,122,268,380,127,179,182
ENSBTAG00000045333,RF00026,112,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000013321,NA,1454,1129,887,963,1294,369,292,654,338,1062,491,995,456
ENSBTAG00000004459,TMEM45A,1931,127,108,70,389,146,727,94,302,401,138,208,223
ENSBTAG00000012140,ADGRG7,3066,8,6,29,6,16,10,46,37,6,32,47,15
ENSBTAG00000016363,TFG,3040,10137,7806,2432,2635,3698,4376,4460,4360,5744,3891,8320,7480
ENSBTAG00000026836,NA,4641,47,58,83,41,68,134,47,32,75,119,124,86
ENSBTAG00000053387,NA,255,0,2,0,3,5,13,0,2,2,2,0,1
ENSBTAG00000015662,IMPG2,3753,0,1,1,22,0,0,0,0,0,0,0,5
ENSBTAG00000016932,SENP7,5992,540,251,315,517,209,397,292,310,356,644,311,248
ENSBTAG00000018731,NA,1159,94,167,113,75,23,67,61,71,137,164,126,58
ENSBTAG00000024027,TRMT10C,1677,1527,952,1395,1539,1385,1460,723,735,1703,1210,1489,1478
ENSBTAG00000015069,PCNP,2318,5127,1855,1780,2833,2061,5109,1852,2521,5682,3064,4052,2034
ENSBTAG00000013460,ZBTB11,3793,240,94,37,41,78,164,86,145,63,120,117,56
ENSBTAG00000013461,RPL24,547,411,779,2009,2090,1048,6927,498,2176,1166,468,496,1239
ENSBTAG00000013464,CEP97,3343,183,102,55,94,74,126,139,113,165,200,137,90
ENSBTAG00000013465,NXPE3,3426,165,105,50,87,126,587,70,217,153,65,103,102
ENSBTAG00000048517,NA,435,10,5,3,2,1,7,0,0,2,1,4,4
ENSBTAG00000010987,NFKBIZ,3499,41,2,9,0,7,459,6,77,14,25,4,13
ENSBTAG00000045162,RF00026,106,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000054676,NA,710,42,0,9,48,2,0,16,0,5,4,14,6
ENSBTAG00000044510,RF00425,114,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000051892,bta-mir-2285dk,64,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000003666,ZPLD1,1242,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000044968,RF00066,62,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000000088,ALCAM,3151,28,36,36,62,11,82,22,16,23,46,43,22
ENSBTAG00000013057,CBLB,5557,445,400,163,139,217,334,146,148,252,445,299,229
ENSBTAG00000045335,bta-mir-2286,73,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000046313,CCDC54,1231,0,1,1,0,0,0,0,0,0,13,0,0
ENSBTAG00000039575,RF00001,115,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000006893,BBX,7496,1882,800,690,771,1332,2928,1377,1571,1308,1639,1313,1182
ENSBTAG00000003585,CD47,3181,715,280,494,600,342,824,317,475,604,221,733,472
ENSBTAG00000049729,NA,1011,0,0,0,0,1,0,0,0,0,0,0,0
ENSBTAG00000005787,IFT57,1728,2529,1275,949,1407,675,1430,587,986,1606,687,2231,1390
ENSBTAG00000018397,HHLA2,2008,22,2,35,36,14,3,2,0,30,8,14,11
ENSBTAG00000018399,MYH15,6082,1029,1720,493,577,412,648,1008,429,1164,776,888,918
ENSBTAG00000055188,NA,1395,0,0,0,0,0,0,1,0,0,0,0,0
ENSBTAG00000017140,CIP2A,2740,5433,1792,1367,1770,1750,3006,2222,2991,4335,4552,4028,1910
ENSBTAG00000006158,DZIP3,3063,1427,509,269,277,328,638,364,586,917,1040,861,383
ENSBTAG00000054027,NA,249,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000049130,NA,1367,26,51,35,94,33,229,15,70,37,19,50,54
ENSBTAG00000049108,TRAT1,2519,2132,753,1203,1070,653,693,803,1788,1885,2408,1830,1231
ENSBTAG00000050173,NA,509,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000044520,RF00026,101,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000020460,DPPA2,1192,1,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000038103,DPPA4,3077,1,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000022275,NA,729,7,63,69,47,90,287,39,61,30,34,50,105
ENSBTAG00000051495,NA,570,0,1,0,0,0,0,0,1,0,0,1,0
ENSBTAG00000055085,NA,282,0,1,4,2,1,4,1,2,5,5,2,4
ENSBTAG00000042390,RF00026,106,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000033360,NA,639,0,0,0,0,2,1,0,0,0,0,0,2
ENSBTAG00000054558,NA,1024,1,1,5,15,0,1,0,0,0,0,4,3
ENSBTAG00000013769,NECTIN3,2232,948,250,256,408,419,534,512,500,734,957,395,162
ENSBTAG00000014441,CD96,3220,0,0,14,1,1,0,3,2,0,12,0,0
ENSBTAG00000046637,ZBED2,654,0,0,0,0,0,0,1,0,0,0,0,0
ENSBTAG00000012646,PLCXD2,1583,0,0,0,0,0,0,0,0,0,0,7,0
ENSBTAG00000001209,PHLDB2,4758,207,125,56,135,118,205,138,110,153,210,246,140
ENSBTAG00000004601,ABHD10,1409,14435,6254,6209,6609,5767,4310,4142,4365,10536,2943,13476,7656
ENSBTAG00000004599,TAGLN3,618,0,0,8,0,0,0,0,0,0,0,0,0
ENSBTAG00000015065,TMPRSS7,2253,7,3,85,84,41,10,13,0,74,6,195,98
ENSBTAG00000016554,C1H3orf52,732,22,15,1,0,4,3,18,4,4,0,14,4
ENSBTAG00000048550,GCSAM,1507,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000019332,SLC9C1,3390,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000033319,CD200,1007,4543,3656,6404,2771,5203,1436,1863,2312,4922,1829,7694,4152
ENSBTAG00000011871,BTLA,1734,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000009084,ATG3,1558,4233,2905,1361,1533,1660,1547,1244,1630,1989,1232,3846,2485
ENSBTAG00000009085,SLC35A5,3094,877,428,433,1112,385,643,599,775,1163,812,765,446
ENSBTAG00000010793,CCDC80,4666,462,72,52,278,135,1156,22,154,96,16,83,175
ENSBTAG00000040144,NA,1060,0,1,0,0,0,0,0,0,0,0,0,1
ENSBTAG00000001235,CD200R1L,2261,0,1,2,0,0,0,0,2,0,2,0,1
ENSBTAG00000006534,GTPBP8,1148,7,2,5,15,3,0,0,0,16,8,5,11
ENSBTAG00000005723,NEPRO,1930,847,263,496,544,453,460,342,311,690,364,560,369
ENSBTAG00000000242,NA,705,10,5,7,47,33,160,11,36,2,18,13,15
ENSBTAG00000013909,BOC,5662,1484,1214,1298,1418,2018,1907,2541,2365,1142,1078,1309,657
ENSBTAG00000050116,NA,1365,355,187,236,42,342,208,416,515,491,764,349,143
ENSBTAG00000013920,NA,1404,1170,518,316,367,506,585,683,824,1094,1449,771,364
ENSBTAG00000049524,NA,1875,0,2,9,1,0,0,0,13,0,2,0,0
ENSBTAG00000013937,SPICE1,3220,1305,1029,693,750,654,871,811,723,1009,1014,1338,789
ENSBTAG00000013292,SIDT1,2472,0,0,0,0,0,0,0,1,0,0,0,0
ENSBTAG00000052710,RF00026,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000021000,USF3,7090,22,16,15,18,17,77,23,9,7,31,18,14
ENSBTAG00000007784,NAA50,2942,2475,1418,915,1714,940,3017,1400,1632,2329,1835,1660,1418
ENSBTAG00000002703,ATP6V1A,4408,1326,846,356,535,596,1106,681,876,999,1126,768,547
ENSBTAG00000004971,GRAMD1C,3757,92,15,1,0,19,81,15,15,42,0,31,8
ENSBTAG00000044668,RF00026,99,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000004974,ZDHHC23,1872,6,2,0,5,1,0,3,0,0,0,5,3
ENSBTAG00000004975,CCDC191,2882,1026,811,194,126,331,373,353,198,402,644,477,558
ENSBTAG00000004977,QTRT2,3178,2162,2045,1318,1727,1595,2006,1543,1521,2115,1998,1646,1331
ENSBTAG00000002132,DRD3,1104,0,38,42,15,22,3,8,13,8,3,3,11
ENSBTAG00000050260,RF00026,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000011921,TIGIT,3100,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000011928,ZBTB20,2565,1,3,2,12,6,33,21,21,0,0,0,4
